X,Y,Stop,Descrip,Place,District,CoordXdiv,CoordYdiv,Shelt,Bench,Public,COORDX,COORDY,OBJECTID
-76.086894,36.798323,1411,LYNNHAVEN & HOLLAND, ,08,121893980,34591610,0,0,-1,12189398,3459161,1116
-76.088309,36.796572,1412,LYNNHAVEN & CRIMSON HOLLY, ,08,121890000,34585130,0,0,-1,12189000,3458513,1117
-76.09843,36.797053,1413,ROSEMONT & MOUNTAIN, ,08,121860331,34586124,0,0,-1,12186033.1,3458612.4,1118
-76.0988,36.799393,1414,ROSEMONT & SHAWN, ,08,121859029,34594614,0,0,-1,12185902.9,3459461.4,1119
-76.100204,36.80594,1415,ROSEMONT & STONESHORE, ,08,121854316,34618338,0,0,-1,12185431.6,3461833.8,1120
-76.099287,36.809034,1416,ROSEMONT & WILLOW LAKE, ,08,121856712,34629667,0,0,-1,12185671.2,3462966.7,1121
-76.098022,36.811891,1417,ROSEMONT & HOLLAND,RSHOL,08,121860149,34640162,0,0,-1,12186014.9,3464016.2,1122
-76.027887,36.863196,1418,FIRST COLONIAL & WILL O WISP,VBGEN,08,122060510,34832190,0,0,-1,12206051,3483219,1123
-76.056326,36.841522,1423,VIRGINIA BEACH & HUTTON, ,08,121979380,34751140,0,0,-1,12197938,3475114,1124
-76.078029,36.91038,1424,SHORE & STARFISH, ,08,121909460,35000120,0,0,-1,12190946,3500012,1125
-76.099176,36.809983,1425,ROSEMONT & BUNYAN, ,08,121856950,34633130,0,0,-1,12185695,3463313,1126
-76.151167,36.822388,1427,PRINCESS ANNE & BAXTER,PRNBAX,08,121703667,34674454,0,0,-1,12170366.7,3467445.4,1127
-76.123747,36.821792,1428,HOLLAND & COMMUTER, ,08,121783956,34674293,0,0,-1,12178395.6,3467429.3,1128
-76.131852,36.826992,1429,INDEPENDENCE & EDWIN, ,08,121759765,34692621,0,0,-1,12175976.5,3469262.1,1129
-76.135538,36.829294,1430,INDEPENDENCE & WICKLOW, ,08,121748770,34700730,0,0,-1,12174877,3470073,1130
