FID,BNAME,BCAMPUS,BSIZE,BUNITS,BHOTEL,STORIES,YEARBLT,COMMENTS,BTYPE,BUSE,OWNERSHIP,GF_RETAIL
27406, , ,17401,12,0,3,2010, ,Detached structure,Residential,Condo,No
26782, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27407, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27408, , ,0,0,0,0,0, ,Garage or shed,Other, ,No
26783, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27409, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26784, , ,10850,12,0,2,1981, ,Attached structure,Residential,Condo, 
27410, , ,0,4,0,4,2001,5090 & 5100 are entrances - each having 4 units on 4th floor,Townhouse or row house,Residential,Condo, 
26785, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27411, , ,0,8,0,4,1987, ,Attached structure,Residential,Condo, 
26786, , ,0,14,0,4,1961, ,Attached structure,Residential,Condo, 
27412, , ,1985,1,0,3,1986, ,Townhouse or row house,Residential,Condo, 
26787, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27413, , ,2018,1,0,3,2008, ,Townhouse or row house,Residential, ,No
26788, , ,0,15,0,3.5,1790, ,Attached structure,Residential,Condo, 
27414, , ,11946,12,0,3,2010, ,Detached structure,Residential,Condo,No
26789, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27415, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26790, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27416, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26791, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27417, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26792, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27418, , ,0,4,0,4,2001,5084 is an entrance with 4 units on 4th floor,Townhouse or row house,Residential,Condo, 
26793, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27419, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27420, , ,1985,1,0,3,1986, ,Townhouse or row house,Residential,Condo, 
26794, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27421, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26795, , ,3642,8,0,2,1940, ,Detached structure,Residential,Condo, 
27422, , ,0,0,0,0,0, ,Garage or shed,Other, ,No
26796, , ,3646,8,0,2,1940, ,Detached structure,Residential,Condo, 
27423, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27424, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26797, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27425, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26798, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27426, , ,0,4,0,4,2001,303 & 313 are entrances - each having 4 units on 4th floor,Townhouse or row house,Residential,Condo, 
26799, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27427, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26800, , ,3642,8,0,2,1940, ,Detached structure,Residential,Condo, 
27428, , ,0,8,0,4,1987, ,Attached structure,Residential,Condo, 
26801, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
26802, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27429, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27430, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
27431, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26803, , ,1429,2,0,2,1940, ,Detached structure,Residential,Condo, 
27432, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26804, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27433, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26805, , ,3646,8,0,2,1940, ,Detached structure,Residential,Condo, 
27434, , ,0,4,0,4,2001,285 & 291 are entrances - each having 4 units on 4th floor,Townhouse or row house,Residential,Condo, 
26806, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27435, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27436, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26807, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27437, , ,4728,6,0,3,1950, ,Attached structure,Residential,Condo, 
26808, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27438, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26809, , ,3642,8,0,2,1940, ,Detached structure,Residential,Condo, 
27439, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26810, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27440, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27441, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26811, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
26812, , ,3646,8,0,2,1940, ,Detached structure,Residential,Condo, 
27442, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26813, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27443, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26814, , ,3642,8,0,2,1940, ,Detached structure,Residential,Condo, 
27444, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26815, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27445, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27446, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26816, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27447, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27448, , ,4508,6,0,2,1950, ,Attached structure,Residential,Condo, 
26817, , ,1678,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27449, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26818, , ,1437,2,0,2,1940, ,Detached structure,Residential,Condo, 
27450, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27451, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26819, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27452, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26820, , ,0,2,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27453, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26821, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27454, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27455, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26822, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
26823, , ,0,2,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27456, , ,0,0,0,0,0, ,Garage or shed,Other, ,No
26824, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27457, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26825, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27458, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26826, , ,0,2,0,4,1999, ,Townhouse or row house,Residential,Condo, 
27459, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26827, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27460, , ,2684,4,0,2,1950, ,Attached structure,Residential,Condo, 
27461, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26828, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27462, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27463, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26829, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27464, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26830, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27465, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27466, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26831, , ,0,2,0,4,1999, ,Townhouse or row house,Residential,Condo, 
27467, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26832, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27468, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26833, , ,0,2,0,4,1999, ,Townhouse or row house,Residential,Condo, 
27469, , ,4728,6,0,3,1950, ,Attached structure,Residential,Condo, 
26834, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27470, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26835, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27471, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26836, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27472, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26837, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27473, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27474, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26838, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27475, , ,4964,4,0,4,1995, ,Attached structure,Residential,Condo, 
26839, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27476, , ,0,0,0,0,0, ,Garage or shed,Other, ,No
26840, , ,0,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27477, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26841, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27478, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27479, , ,6315,6,0,3,1950, ,Attached structure,Residential,Condo, 
27480, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26842, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27481, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26843, , ,0,2,0,4,1999, ,Townhouse or row house,Residential,Condo, 
27482, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26844, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27483, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26845, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26846, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27484, , ,9864,9,0,4,1995, ,Attached structure,Residential,Condo, 
27485, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26847, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27486, , ,2402,3,0,3,1950, ,Attached structure,Residential,Condo, 
26848, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27487, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26849, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27488, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26850, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27489, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26851, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27490, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27491, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26852, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27492, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26853, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27493, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26854, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27494, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27495, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26855, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27496, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27497, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26856, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26857, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27498, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27499, , ,5484,8,0,3,1950, ,Attached structure,Residential,Condo, 
26858, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27500, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26859, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27501, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26860, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27502, , ,9864,8,0,4,1995, ,Attached structure,Residential,Condo, 
27503, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26861, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27504, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26862, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27505, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26863, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27506, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26864, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27507, , ,4508,6,0,2,1950, ,Attached structure,Residential,Condo, 
26865, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27508, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27509, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26866, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27510, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26867, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27511, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26868, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27512, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26869, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27513, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26870, , ,0,3,0,2,1900,condo no split,Townhouse or row house,Residential,Condo, 
27514, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27515, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26871, , ,0,1,0,3,1900, ,Townhouse or row house,Residential,Condo, 
27516, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26872, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27517, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26873, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27518, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26874, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27519, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27520, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26875, , ,0,1,0,2,1987,condo,Townhouse or row house,Residential,Condo, 
27521, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26876, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27522, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26877, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27523, , ,2684,4,0,2,1950, ,Attached structure,Residential,Condo, 
27524, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26878, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27525, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26879, , ,0,1,0,3,1987, ,Townhouse or row house,Residential,Condo, 
27526, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27527, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26880, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27528, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26881, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27529, , ,6400,8,0,2,1981, ,Attached structure,Residential,Condo, 
26882, , ,0,4,0,2.5,1979, ,Attached structure,Residential,Condo, 
27530, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26883, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27531, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27532, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26884, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27533, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26885, , ,0,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27534, , ,2270,4,0,2,1981, ,Attached structure,Residential,Condo, 
27535, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26886, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27536, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26887, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27537, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26888, , ,19200,32,0,2,1939, ,Attached structure,Residential,Condo, 
27538, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26889, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27539, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27540, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26890, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27541, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26891, , ,21588,14,0,3,1999, ,Townhouse or row house,Residential,Condo, 
26892, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27542, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26893, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27543, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27544, , ,5900,8,0,2,1981, ,Attached structure,Residential,Condo, 
27545, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26894, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27546, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26895, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27547, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26896, , ,4882,3,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27548, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
27549, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26897, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27550, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26898, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27551, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26899, , ,1377,1,0,2,1977, ,Detached house,Residential,Condo, 
27552, , ,9620,12,0,2,1981, ,Attached structure,Residential,Condo, 
26900, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27553, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27554, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26901, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
26902, , ,38724,28,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27555, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26903, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27556, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
27557, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26904, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27558, , ,5200,8,0,2,1981, ,Attached structure,Residential,Condo, 
27559, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26905, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27560, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26906, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27561, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27562, , ,0,3,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26907, , ,2548,2,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27563, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26908, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27564, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26909, , ,4882,3,0,3,1977, ,Townhouse or row house,Residential,Condo, 
27565, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26910, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27566, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27567, , ,6125,8,0,2,1981, ,Attached structure,Residential,Condo, 
26911, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
26912, , ,4005,3,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27568, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26913, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27569, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26914, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27570, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26915, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27571, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26916, , ,3302,2,0,3,1977, ,Townhouse or row house,Residential,Condo, 
27572, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27573, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26917, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27574, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26918, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27575, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27576, , ,4390,4,0,4,1995, ,Attached structure,Residential,Condo, 
26919, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27577, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27578, , ,7225,8,0,2,1981, ,Attached structure,Residential,Condo, 
26920, , ,7923,6,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27579, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26921, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27580, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26922, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
26923, , ,2678,2,0,2,1977, ,Townhouse or row house,Residential,Condo, 
27581, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27582, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26924, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27583, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26925, ,Liberty Row Condominium,33810,21,0,4,2004, ,Detached structure,Residential,Condo, 
27584, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26926, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27585, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
27586, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26927, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27587, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26928, , ,0,2,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27588, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26929, ,Liberty Row Condominium,33810,20,0,4,2004, ,Detached structure,Residential,Condo, 
27589, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27590, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26930, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27591, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26931, , ,0,1,0,2,1979, ,Townhouse or row house,Residential,Condo, 
27592, , ,6500,8,0,2,1981, ,Attached structure,Residential,Condo, 
27593, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26932, , ,1672,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27594, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26933, ,Liberty Row Condominium,33810,20,0,4,2004, ,Detached structure,Residential,Condo, 
27595, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26934, , ,0,1,0,2.5,1987, ,Townhouse or row house,Residential,Condo, 
26935, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27596, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
27597, , ,3676,1,0,2,2007, ,Detached house,Residential, ,No
26936, , ,0,1,0,3,1987, ,Townhouse or row house,Residential,Condo, 
27598, , ,8780,9,0,4,1995, ,Attached structure,Residential,Condo, 
27599, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26937,Potowmack Crossing Condominium, ,165160,242,0,3,1942, ,Detached structure,Residential,Condo, 
27600, ,HARBOR TERRACE CONDOMINIUM,5200,8,0,2,1981, ,Attached structure,Residential,Condo, 
27601, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27602, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27603, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26938, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27604, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26939, , ,0,1,0,3,1987, ,Townhouse or row house,Residential,Condo, 
27605, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26940, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27606, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26941, ,Parkfairfax,0,6,0,2,1941, ,Detached structure,Residential,Condo, 
27607, , ,4810,6,0,2,1981, ,Attached structure,Residential,Condo, 
27608, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27609, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26942, , ,0,1,0,2,1979, ,Townhouse or row house,Residential,Condo, 
27610, , ,0,1,0,4,2001, ,Townhouse or row house,Residential,Condo, 
26943, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
26944, , ,0,1,0,2,1979, ,Townhouse or row house,Residential,Condo, 
27611, , ,8780,8,0,4,1995, ,Attached structure,Residential,Condo, 
26945, , ,10248,4,0,2,2008, ,Detached structure,Residential,Condo, 
27612, , ,0,1,0,4,1993, ,Townhouse or row house,Residential,Condo, 
26946, , ,0,1,0,2,1976, ,Townhouse or row house,Residential,Condo, 
27613, , ,0,0,0,0,0, ,Garage or shed,Other, , 
26947, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
27614, , ,0,0,0,0,0, ,Garage or shed,Other, , 
27615, , ,0,1,0,2,1975, ,Townhouse or row house,Residential,Condo, 
26948, , ,8970,6,0,4,1999, ,Townhouse or row house,Residential,Condo, 
27616, , ,8400,12,0,2,1981, ,Attached structure,Residential,Condo, 
26949, , ,0,1,0,2,1954, ,Townhouse or row house,Residential,Condo, 
