OBJECTID,FCODE,SOURCE,MODIFIED_DATE,SHAPElen
5090,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,13.596177
5091,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,13.856547
5092,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,35.354416
5093,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,64.409574
5094,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,39.129044
5095,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,35.391667
5096,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,62.06283
5097,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,19.539721
5098,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.275059
5099,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,25.466269
5100,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,39.122167
5101,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,266.560268
5102,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,141.536834
5103,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,364.56161
5104,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,425.124464
5105,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,323.587041
5106,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,245.018793
5107,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,26.335769
5108,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,539.027261
5109,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,15.305771
5110,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,176.204406
5111,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,72.08901
5112,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,41.487056
5113,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,35.642994
5114,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,46.541098
5115,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,29.493801
5116,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,29.888855
5117,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,10.25814
5118,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,20.230688
5119,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,32.869298
5120,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,33.496495
5121,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,37.72771
5122,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,61.943869
5123,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,2.891574
5124,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,2.518032
5125,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,4.580886
5126,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,227.723781
5127,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,1271.414944
5128,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,49.825438
5129,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,91.314213
5130,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,100.054708
5131,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,38.364084
5132,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,90.055818
5133,Bulkhead,Aerial 2004,2004-03-12T12:00:00.000Z,158.654296
