Virginia coal quality database (coal sample analyses) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analyses reported:  as-received ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data source:  raw data from USGS coal quality database / non-USGS collectors / Virginia scan and subset created 2006-01-18 (Hostettler),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
version:  release copy / data revised 2008-07-09 (Lovett) / format revised 2008-09-09 (Lovett),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
database inventory (all 375 samples accounted for - jal),,U.S. location and geologic setting,,,,"Regional location, coal bed name (in stratigraphic order), geologic formation, and VDMR Id. No. ",,,,,,"USGS Lab. No., location detail, and sample information",,,,,,,,,,,,,,,Proximate Analysis (%),,,,Ultimate Analysis (%),,,,,Heat,,Forms of Sulfur (%),,,,Ash-Fusion Temperature (F),,,,,Major- and Minor-Oxides (%),,,,,,,,,,,,Major- and Minor-Elements (ppm),,,,,,,,,Trace Elements (ppm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS supplemental data,,,
 Sample inventory [jal],Inventory notes (jal),CPROVINC,CREGION,SYSTEM,SER_EPOC,STATE,CFIELD,CBED,CFORMATN,ESTRANK,POINTID [modified to VDMR Id. No.2] ,LABID,USGS Lab No.,POINTID [modified to VDMR Field Id. No.2],LATITUDE1,NS,LONGITUDE1,EW,Quad Map Name,COUNTY,SAMPTHK,COMMENTS [USGS],SAMP_TYPE [VDMR (jal)]2,SAMPTYPE [USGS],SAMP_COND [VDMR (jal)]2,PART_OF_BED [VDMR (jal)]2,MOISTR,VOLMAT,FIXEDC,STDASH,HYDRGN,CARBON,NITRGN,OXYGEN,SULFUR,BTU/LB,ADLOSS,SLFATE,SLFPYR,SLFORG,FRESWL,ASHDEF,ASHSOF,ASHFLD,HGI [VDMR (jal)]2,COMPL_No [VDMR (jal)]2,GSASH,SIO2,AL2O3,CAO,MGO,MNO,NA2O,K2O,FE2O3,TIO2,P2O5,SO3,SI_E,AL_E,CA_E,MG_E,NA_E,K_E,FE_E,TI_E,S_E,AG_E,AS_E,AU_E,B_E,BA_E,BE_E,BI_E,BR_E,CD_E,CE_E,CL_E,CO_E,CR_E,CS_E,CU_E,DY_E,ER_E,EU_E,F_E,GA_E,GD_E,GE_E,HF_E,HG_E,HO_E,IN_E,IR_E,LA_E,LI_E,LU_E,MN_E,MO_E,NB_E,ND_E,NI_E,OS_E,P_E,PB_E,PD_E,PR_E,PT_E,RB_E,RE_E,RH_E,RU_E,SB_E,SC_E,SE_E,SM_E,SN_E,SR_E,TA_E,TB_E,TE_E,TH_E,TL_E,TM_E,U_E,V_E,W_E,Y_E,YB_E,ZN_E,ZR_E,,POINTID [USGS],COLLECTR,SUBDATE,IDMARPLOT       [end]
57 / 57,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,R-8820,W,238477,88B-22,37.242914,N,-82.165619,W,PRATER (7.5'),BUCHANAN,34.80,"ST,UNITED COAL CO",Surface mine,11,slightly weathered,Upper Split,3.41,36.3,57.04,3.25,5.51,81.27,1.59,7.09,1.29,"14,544",2.65,0.05,0.58,0.66,8.0,"2,020","2,080","2,430",77,1.79,3.6,37,20,1.3,0.71,0.09,1.1,2.6,31,0.67,0.14,2.5,6200,3900,330,150,300,780,7900,140,360,0.025,41,0.17,7.6,43,1,0.55,8.6,0.14,4.1,600,5.6,4.2,0.36,14,0.9,0.12,0.14,14,2.5,0.25,0.76,0.1,0.03,0.038,0.055,0.25,2.4,2.6,0.068,27,2.5,0.31,2,8.6,0.25,21,1.6,0.017,0.32,0.038,20,0.25,0.038,0.012,1.2,1.6,1.6,0.63,0.54,24,0.045,0.1,0,0.66,0.25,0.081,0.79,6.8,0.47,2.3,0.41,18,2.4,,R8820-88B-22,VADMR-WILKES G P,86/10/22,AAAAAAAAAAAA5716
583,58 (average of 7 + 8),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,"W192600,W200124",W,AVE 2,"W192600,W200124",36.973939,N,-82.542971,W,WISE (7.5'),WISE,21.12,"ST,BARNETTE CONTRACTORS",[Surface mine],11,[slightly weathered],[Average of 2 Bench Samples],1.77,31.24,56.2,10.78,5.2,74.21,1.45,6.88,1.46,"13,420",0,0.02,1.18,0.24,8.2,"2,526","2,643","2,714", [---] , [---] ,11.3,52,26,1.8,0.75,0.01,0.56,1.8,10,1.3,0.82,1.4,27000,16000,1400,510,470,1700,8000,890,630,0.05,17,0.79,15,110,1.8,1.5,8.8,0.25,30,650,6.6,19,0.9,22,2.7,1.2,0.51,230,5.4,1.4,0.88,0.96,0.11,0.54,0.54,1.2,18,26,0.19,14,2.1,2,10,13,1.2,410,6.6,0.12,8.5,0.54,19,0.79,0.12,0.25,0.7,3.9,1.9,2.7,0.34,220,0.21,0.4,0,3.6,0.53,0.36,1.6,24,0.65,8.1,1.1,20,15,,"W192600,W200124",VADMR-HENDERSON J A,76/04/08,AAAAAAAAAAAA5694
593,59 (average of 11 + 12) ,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,"W192587,W200122",W,AVE 2,"W192587,W200122",36.974544,N,-82.543142,W,WISE (7.5'),WISE,21.48,"ST,BARNETTE CONTRACTORS",[Surface mine],11,[slightly weathered],[Average of 23Bench Samples],2.73,32.45,58.24,6.56,5.47,75.99,1.67,9.41,0.87,"13,952",0,0.02,0.2,0.63,9.0,"2,647","2,721","2,796", [---] , [---] ,6.84,52,26,2.3,0.61,0,0.98,1.1,7.6,1.4,1.4,2.2,17000,9500,1100,250,500,610,3600,590,610,0.037,12,0.48,15,110,2.1,0.97,2.5,0.076,17,400,5.5,11,0.25,13,1.7,1.1,0.29,220,4.2,1.2,1.4,0.63,0.078,0.49,0.33,0.72,8.9,8.4,0.14,3.7,1.3,1.6,7.2,13,0.63,410,3.6,0.072,4.3,0.33,18,0.48,0.063,0.15,0.49,3,1.1,1.4,0.26,180,0.2,0.49,0,1.9,0.6,0.42,1.2,20,0.35,8.1,0.8,3,12,,"W192587,W200122",VADMR-HENDERSON J A,76/05/06,AAAAAAAAAAAA5695
603,60 (average of 14 + 15 + 16),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,"W193669-70,W200131",W,AVE 3,"W193669-70,W200131",37.250579,N,-82.181073,W,HARMAN (7.5'),BUCHANAN,28.68,"ST,CLINCHFIELD COAL CO",[Surface mine],11,[slightly weathered],[Average of 2 Bench Samples],2.04,32.01,60.96,4.97,5.29,80.19,1.48,6.02,1.98,"14,378",1.09,0.05,1.16,0.74,9.0,"2,339","2,432","2,542", [---] , [---] ,3.96,33,19,1.3,0.99,0.02,0.81,2.3,32,0.59,0.1,2.4,6100,4000,370,240,240,750,8900,140,380,0.021,37,0.28,7.4,29,3,0.61,14,0.12,6.7,760,7.1,4.7,0.47,16,1.2,0.57,0.22,39,3.6,1.1,3.3,0.23,0.051,0.19,0.19,0.42,3,3.2,0.13,8,2.7,0.52,3.8,11,0.28,18,2.1,0.042,2.9,0.19,8,0.28,0.042,0.089,2,2.2,2.3,0.94,0.13,55,0.14,0.22,0,0.77,0.2,0.13,1.4,11,0.74,7.3,0.78,29,4.3,,"W193669-70,W200131",VADMR-HENDERSON J A,76/09/08,AAAAAAAAAAAA5720
613,61 (average of 18 + 19),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,W194298-9,W,AVE 2,W194298-9,37.230707,N,-82.135799,W,PRATER (7.5'),BUCHANAN,35.88,"ST,BOWLING COAL CO",[Surface mine],11,[slightly weathered],[Average of 2 Bench Samples],2.38,30.47,62.67,4.47,5.35,81.18,1.61,6.18,1.2,"14,562",1.28,0.04,0.33,0.81,9.0,"2,308","2,400","2,516", [---] , [---] ,4.09,46,24,0.6,1,0.02,1.3,4.2,12,0.89,0.07,1.4,8900,5300,180,250,400,1400,3500,220,230,0.023,9.6,0.29,7.1,34,2.6,0.63,8.6,0.063,6.3,0,4.1,5.5,0.74,15,0.92,0.58,0.15,35,3,0.69,2.6,0.18,0.055,0.2,0.2,0.43,3.3,3.5,0.082,6.2,3.4,0.29,4.6,8.9,0.29,13,2.9,0.043,2,0.2,15,0.29,0.029,0.092,1.6,1.7,1.2,0.73,0.2,49,0.26,0.14,0,0.87,0.68,0.13,2,12,0.39,6,0.46,14,3.9,,W194298-9,VADMR-HENDERSON J A,76/12/13,AAAAAAAAAAAA5707
623,62 (average of 20 + 21),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,W194303-4,W,AVE 2,W194303-4,37.233744,N,-82.122199,W,VANSANT (7.5'),BUCHANAN,33.36,"ST,HORN CONSTRUCTION CO,INC",[Surface mine],11,[slightly weathered],[Average of 2 Bench Samples],4.6,24.92,53.52,16.94,4.6,67.34,1.3,8.45,1.14,"12,000",3.25,0.02,0.5,0.64,8.7,"2,212","2,312","2,427", [---] , [---] ,12.77,46,19,3.1,1.4,0.09,0.72,3.1,14,0.74,0.15,4.7,28000,13000,2800,1100,680,3300,13000,560,2400,0.046,86,0.89,16,100,5.5,2,9.1,0.12,15,0,7.1,14,2.1,28,2.9,0.89,0.29,110,6.5,2.3,6.1,0.6,0.084,0.61,0.61,1.3,8.4,9.1,0.11,98,9.1,1.3,10,22,0.89,84,6.3,0.13,6.1,0.61,34,0.89,0.089,0.29,1.9,3.5,2.7,1.4,0.87,120,0.29,0.25,0,2.4,0.89,0.41,3,31,0.5,15,0.7,32,13,,W194303-4,VADMR-HENDERSON J A,76/12/13,AAAAAAAAAAAA5711
633,63 (average of 42 + 43),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,W218976-7,W,AVE 2,W218976-7,37.301374,N,-82.000643,W,GRUNDY (7.5'),BUCHANAN,43.80,"UG,LITTLE MOE COAL CORP",[Underground mine],1,[fresh / unweathered],[Average of 2 Bench Samples],3.07,28.65,63.97,4.3,5.3,80.95,1.61,6.9,0.9,"14,316",2.08,0.11,0.13,0.66,8.7,"2,268","2,385","2,583", [---] , [---] ,4.27,45,26,3.6,1.2,0.04,0.99,2.8,9.9,1.1,1.1,0,8900,5900,1100,320,310,980,3000,280,0,0.026,6.1,0.2,7.3,79,1.6,0.3,18,0.029,6.5,1100,4.7,6.4,0.77,12,1.4,0.81,0.18,53,3.5,1.6,0.64,0.22,0.13,0.2,0.3,0.45,3.5,2.5,0.074,16,4.5,0.92,5,14,0.45,210,1.8,0.03,3,0.066,9.9,0.3,0.066,0.066,1,1.8,1.9,0.67,0.2,81,0.08,0.16,0,1,0.3,0.14,1.1,13,0.56,5.5,0.55,5.4,8.5,,W218976-7,VADMR-WILKES G P,83/01/14,AAAAAAAAAAAA5725
643,64 (average of 48 + 49),EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,DORCHESTER,WISE,BITUMINOUS,W231831-2,W,AVE 2,W231831-2,37.008348,N,-82.556271,W,POUND (7.5'),WISE,62.40,"UG,GLAMORGAN CC,DOR MINE",[Underground mine],1,[fresh / unweathered],[Average of 2 Bench Samples],3.8,31,57.25,7.93,5.27,75.75,1.5,8.37,1.15,"13,515",2.66,0.05,0.51,0.58,8.5,"2,148","2,227","2,440", [---] , [---] ,8.48,44,21,1.9,1.1,0.15,0.65,1.6,24,0.96,0.52,2.8,17000,9300,1100,570,410,1200,14000,490,940,0.037,19,0.4,9.6,88,0.84,0.59,2.7,0.036,13,140,3.6,10,0.74,14,1.3,0.27,0.34,32,2,1.9,0.57,0.5,0.044,0.4,0.59,0.89,6.7,13,0.12,100,1.3,0.71,6.3,6.1,0.89,190,5.5,0.059,5.9,0.13,16,0.59,0.13,0.13,0.53,3.1,2.2,1.6,1.1,95,0.16,0.24,0,2,0.59,0.27,0.87,8.1,0.55,3.7,0.8,14,5.5,,W231831-2,VADMR-WILKES G P,85/07/10,AAAAAAAAAAAA5697
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6815,W,191064,60A-2,36.974638,N,-82.540792,W,WISE (7.5'),WISE,13.08,"ST,BARNETTE CONTRACTORS",Surface mine,1,fresh / unweathered,Upper Split,2,32.6,58.7,6.7,5.3,77.5,1.5,7.5,1.5,"13,900",0,0.04,0.67,0.81,9.0,"1,930","2,030","2,220", --- ,2.16,6,53,28,2,1.3,0.17,0.78,1.5,8.7,1.5,1,3.3,15000,8800,860,480,350,750,3700,540,790,0.012,68,0.76,11,78,2.3,1.7,7,0.096,6,0,7.8,5.5,0.3,16,2.4,0.76,0.17,46,2.2,1.2,0.72,0.3,0.045,0.5,0.5,1.1,3,3.4,0.09,78,2,0.53,3.5,9,0.76,260,1.4,0.11,5,0.5,9.1,0.76,0.076,0.24,0.86,1.5,2.4,0.7,0.5,60,0.04,0.1,0,0.7,2.8,0.35,0.77,8.4,0.43,5.3,0.5,72,4.1,,R6815-60A-2,VADMR-HENDERSON J A,76/01/16,AAAAAAAAAAAA5886
2 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6816,W,191069,60B-1,36.972891,N,-82.661590,W,NORTON (7.5'),WISE,24.36,"ST,PARAMOUNT ELKHORN INC",Surface mine,1,fresh / unweathered,Upper Split ,3.6,32.9,58,5.5,5.4,74.8,1.5,9.9,2.9,"13,810",0,0.02,1.94,0.91,9.0,"1,995","2,085","2,160", --- ,4.20,6.9,25,10,1.1,1.2,0.03,0.85,1.5,53,0.4,0.1,3.9,8100,3800,540,490,430,860,25000,170,1100,0.031,98,0.87,12,41,1.5,1.9,4,0.063,4,0,1.9,4.2,0.3,12,2.8,0.87,0.1,42,2,1.4,0.4,0.2,0.16,0.58,0.58,28,2,3.2,0.06,19,2.5,0.28,4,4,0.87,30,0.83,0.13,5.8,0.58,7,0.87,0.087,0.28,0.82,1.3,4.4,0.5,0.58,52,0.17,0.22,0,0.5,0.87,0.4,1.1,9,0.5,3.4,0.3,28,4.3,,R6816-60B-1,VADMR-HENDERSON J A,76/01/16,AAAAAAAAAAAA5883
3 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6817,W,191065,60B-2,36.972891,N,-82.661590,W,NORTON (7.5'),WISE,15.72,"ST,PARAMOUNT ELKHORN INC",Surface mine,1,fresh / unweathered,Lower Split,1.3,35.2,57.2,6.3,5.7,79.2,1.7,6.5,0.6,"14,230",0,0.02,0.06,0.49,9.0,"2,400","2,535","2,655", --- ,0.84,6.8,43,14,2.1,1.5,0,1.3,1.7,32,0.5,0.2,5,14000,5000,1000,600,650,960,15000,200,1400,0.032,1.9,0.86,22,95,1.5,1.9,3,0.049,14,0,3.2,11,0.4,12,2.8,0.86,0.23,47,3.5,0.57,0.4,0.6,0.018,0.57,0.57,1.3,8,8.2,0.09,0.75,1.2,1.1,10,8.2,0.86,59,3,0.13,5.7,0.57,11,0.86,0.086,0.28,0.37,2.1,1.3,1.3,0.57,180,0.13,0.2,0,1.9,0.86,0.4,1.3,17,0.54,6.1,0.6,5.8,15,,R6817-60B-2,VADMR-HENDERSON J A,76/01/16,AAAAAAAAAAAA5884
4 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6818,W,191063,60B-3,36.977356,N,-82.657564,W,NORTON (7.5'),WISE,27.96,"ST,CHESTNUT CABIN COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,2.6,34.8,56.3,6.3,5.3,76.1,1.4,7.8,3.1,"13,770",0,0.02,1.83,1.26,9.0,"2,045","2,145","2,225", --- ,4.50,6.8,27,19,1.6,0.7,0.03,0.92,1.7,43,0.8,0.05,3.6,8500,7000,780,290,460,960,20000,330,980,0.035,97,0.86,12,82,1.7,1.9,5,0.068,8,0,3.1,7.8,0.4,11,2.8,0.86,0.17,170,3.3,0.57,3.1,0.3,0.24,0.57,0.57,28,4,8.2,0.08,20,1.8,0.95,5.9,6.4,0.86,15,1.6,0.13,8.6,0.57,8,0.86,0.086,0.28,0.91,2.1,7.6,0.8,0.57,68,0.07,0.13,0,1,0.86,0.4,0.72,9.5,0.5,3.7,0.5,4.2,8.8,,R6818-60B-3,VADMR-HENDERSON J A,76/01/16,AAAAAAAAAAAA5888
5 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6839,W,192601,60A-12,36.988039,N,-82.547822,W,WISE (7.5'),WISE,39.12,"ST,BARNETTE CONTRACTORS",Surface mine,11,slightly weathered,Full Thickness,3.9,32.2,61.9,2.1,5.8,81.3,1.6,8.8,0.5,"14,490",0,0.02,0.18,0.34,9.0,"2,410","2,530","2,630", --- ,0.69,2.5,45,30,2.2,0.85,0.04,3.1,1.4,6,1.7,0.19,4.4,5200,3900,390,130,580,290,1000,250,440,0.021,1.8,0.18,10,55,0.9,0.39,1,0.055,10,0,7.1,16,0.5,10,0.56,0.33,0.28,14,1.6,0.43,0.78,0.4,0.02,0.12,0.12,0.26,3,6.3,0.06,8,0.8,0.5,0.81,7.5,0.18,21,1.9,0.026,1.2,0.12,16,0.18,0.018,0.056,0.26,1.9,3.1,0.6,0.12,40,0.19,0.37,0,1.5,0.3,0.08,0.39,3.3,0.22,1.9,0.45,2.5,2.8,,R6839-60A-12,VADMR-HENDERSON J A,76/04/08,AAAAAAAAAAAA5890
6 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6849,W,192588,60A-18,36.991722,N,-82.509572,W,WISE (7.5'),WISE,22.56,"ST,WILDER COAL CO",Surface mine,11,slightly weathered,Full Thickness,2.6,31.5,62.1,3.8,5.4,80.3,1.6,7.7,1.2,"14,370",0,0.02,0.5,0.67,9.0,"2,030","2,115","2,235", --- ,1.67,3.4,41,16,1.9,0.95,0.02,1.9,2.5,23,0.56,0.16,4,6500,2900,460,190,480,710,5400,110,540,0.016,18,0.24,10,44,1.2,0.52,2,0.054,3.5,0,2.9,3,0.25,13,0.76,0.37,0.15,14,1.8,0.71,0.95,0.55,0.093,0.16,0.16,0.36,2,2.4,0.065,7.1,2.2,0.41,2.6,4.4,0.24,24,1.6,0.036,1.6,0.16,18,0.24,0.024,0.076,0.81,1.5,2.1,0.5,0.16,44,0.47,0.48,0,0.5,0.88,0.11,0.69,6.1,0.38,3.4,0.4,9.2,2,,R6849-60A-18,VADMR-HENDERSON J A,76/05/06,AAAAAAAAAAAA5891
7 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6894,W,194305,88B-1,37.196306,N,-82.145310,W,PRATER (7.5'),BUCHANAN,41.52,"ST,KING COAL CO",Surface mine,11,weathered,Full Thickness,5.9,27.7,51.5,14.9,4.9,68.1,1.3,9.4,1.5,"12,229",4.9,0.24,0.65,0.57,8.5,"2,370","2,455","2,555", --- ,2.45,25.9,47,22,0.77,1.7,0.02,0.54,3.9,14,1.2,0.03,1.2,57000,31000,1400,2600,1000,8400,25000,1900,1200,0.057,35,1.8,28,210,8,4,6.1,0.13,15,0,6.9,12,1.6,31,5.8,1.8,0.28,94,12,2.1,2.6,0.6,0.17,1.2,1.2,2.7,8,19,0.13,57,3.4,2.6,22,26,1.8,34,9.8,0.27,12,1.2,22,1.8,0.18,0.58,0.9,3,6.1,1.3,1.2,170,0.18,0.2,0,2,1.8,0.83,1.8,39,0.4,11,0.7,36,26,,R6894-88B-1,VADMR-HENDERSON J A,76/12/13,AAAAAAAAAAAA5896
8 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-6899,W,194302,88A-6,37.233046,N,-82.123017,W,VANSANT (7.5'),BUCHANAN,31.92,"ST,HORN CONSTRUCTION CO,INC",Surface mine,11,slightly weathered,Upper Split ,5.1,25.6,49.3,20,4.6,64.3,1.2,8.6,1.2,"11,449",3.4,0.15,0.49,0.52,9.0,"2,765","2,800","2,800", --- ,2.10,12.3,46,29,0.64,1.2,0,0.7,5,10,0.91,0.03,0.78,26000,19000,560,860,640,5100,8600,670,380,0.03,38,0.86,16,81,1.7,1.9,13,0.065,17,0,3.9,16,2.9,20,2.8,0.86,0.3,120,6.8,0.59,1.4,0.55,0.07,0.59,0.59,1.3,9,9.7,0.15,9,2.5,0.75,8,8.6,0.86,16,5.9,0.13,5.9,0.59,28,0.86,0.086,0.28,2.2,3.8,4.9,1.6,0.59,70,0.16,0.23,0,2.7,0.86,0.4,3.6,27,0.7,4.6,0.75,18,6.2,,R6899-88A-6,VADMR-HENDERSON J A,76/12/13,AAAAAAAAAAAA5899
9 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-7068,W,198542,60B-12,36.928455,N,-82.685641,W,NORTON (7.5'),WISE,38.64,"ST,BRAMHAM DOMINION COAL CO",Surface mine,11,slightly weathered,Full Thickness,1.9,37.6,54.8,5.7,5.4,78.3,1.6,7.5,1.6,"13,973",0.6,0.04,0.91,0.62,6.5,"2,080","2,180","2,400", --- ,2.29,6.4,39,23,2.2,0.68,0.01,0.24,1.1,28,1.3,0.54,2.9,12000,7900,1000,260,120,560,13000,490,730,0.028,47,0.45,19,30,0.58,0.67,1.1,0.083,10,110,4.6,9,0.2,13,0.99,0.45,0.19,120,2,0.3,0.42,0.5,0.21,0.3,0.3,0.67,5,7.7,0.07,5.3,1.5,1.3,5.2,6.1,0.99,150,3.7,0.067,3,0.3,35,0.45,0.099,0.14,0.8,1.7,3.2,1,0.067,96,0.14,0.42,0,1.2,0.14,0.21,0.7,9.6,0.2,3.6,0.4,5.1,12,,R7068-60B-12,VADMR-HENDERSON J A,78/03/30,AAAAAAAAAAAA5879
10 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-7070,W,197299,90C-7,37.091546,N,-82.645691,W,FLAT GAP (7.5'),WISE,22.68,"ST,INDIAN MOUNTAIN COAL CO",Surface mine,11,slightly weathered,Full Thickness,3.1,34.7,55.8,6.4,5.4,76.8,1.4,7.6,2.4,"13,924",1.5,0.11,0.98,1.31,9.0,"2,080","2,260","2,460", --- ,3.45,5.4,42,22,1.5,0.68,0.02,0.32,1.8,27,1.1,0.21,2.7,11000,6300,570,220,130,800,10000,370,580,0.012,29,0.38,6.5,22,0.81,0.57,13,0.012,9,0,1.2,8.1,0.3,5.9,0.83,0.38,0.16,28,2.2,0.7,2.5,0.4,0.29,0.26,0.26,0.57,5,11,0.05,11,1.5,1.1,3.9,3.7,0.83,50,2.8,0.057,2.6,0.26,13,0.38,0.083,0.12,0.3,2,2.6,0.7,0.057,37,0.07,0.11,0,1.1,1.9,0.17,1.4,9.2,0.5,2.8,0.4,4.6,8.1,,R7070-90C-7,VADMR-HENDERSON J A,77/08/16,AAAAAAAAAAAA5895
11 / 32,,EASTERN,CENTRAL APPALACHIAN,PENNSYLVANIAN,MIDDLE,VIRGINIA,SOUTHWEST VIRGINIA,LYONS,WISE,BITUMINOUS,R-7324,W,202130,60B-13,36.948071,N,-82.668605,W,NORTON (7.5'),WISE,28.80,"ST,PARAMOUNT COAL CO",Surface mine,1,fresh / unweathered,Full Thickness,3,34.2,53.9,8.9,5.2,73.8,1.3,8,2.8,"13,389",1.5,0.02,1.65,1.15,8.5,"2,080","2,300","2,380", --- ,4.18,8.4,32,22,1.7,0.9,0.02,0.41,2.7,31,0.89,0.1,3.4,13000,9800,1000,450,250,1900,18000,450,1100,0.034,55,0.59,9.2,84,0.92,0.88,3,0.074,10,140,5.4,9.8,1.3,14,1.3,0.59,0.22,76,3.9,0.88,2.5,0.4,0.17,0.4,0.4,0.88,6,13,0.11,15,1.8,1,5.5,7.6,1.3,37,2.4,0.088,7.3,0.4,16,0.59,0.13,0.19,0.8,3,6,1,0.33,83,0.1,0.1,0,1.5,0.19,0.27,0.63,9.2,0.5,3.8,0.6,8.4,6.7,,R7324-60B-13,VADMR-WILKES G P,79/03/07,AAAAAAAAAAAA5880
