OBJECTID,NAME,PAR_GPIN,OWNER,TYPE,PARKTYPE,ACRES,PLANAREA,SHAPEarea,SHAPElen
125,Upton Estates Park Sec. 1,2415632842,City,NP,Neighborhood Parks,1.5769,Courthouse Sandbridge,9967.03686803953,467.751258032368
126,Upton Estates Park Sec. 2,2415529627,City,NP,Neighborhood Parks,3.1055,Courthouse Sandbridge,19627.5420899327,746.352285174889
127,Hunt Club Forest Park,2404972965,City,NP,Neighborhood Parks,2.2561,Courthouse Sandbridge,14254.5596525339,507.478874454788
128,Sandbridge Beach Park,2434117352,City,NP,Neighborhood Parks,0.5078,Courthouse Sandbridge,3206.86984199673,244.950993226317
129,Lago Mar Park,2423090795,City,NP,Neighborhood Parks,1.7894,Courthouse Sandbridge,11299.1673100942,495.152202440028
130,Fox Fire Park,2403395116,City,NP,Neighborhood Parks,4.3483,Courthouse Sandbridge,27456.2201218663,771.313228295816
131,Fox Fire Park,2403386659,City,NP,Neighborhood Parks,4.1369,Courthouse Sandbridge,26120.8361776868,698.377249218078
132,Landstown Meadows Sec-1 Park, ,City,NP,Neighborhood Parks,3.279,Courthouse Sandbridge,20721.4612772895,640.81760311028
133,Landstown Lakes Park,1495122535,City,NP,Neighborhood Parks,4.9964,Courthouse Sandbridge,31579.5504930284,801.836019061722
134,Landstown Meadows Park,1495404074,City,NP,Neighborhood Parks,4.8968,Courthouse Sandbridge,30944.7205020631,893.496582008798
135,Woods of Piney Grove Park,1494496180,City,NP,Neighborhood Parks,1.8435,Courthouse Sandbridge,11649.291548448,675.002647293634
136,Holland Oaks Park,1495510057,City,NP,Neighborhood Parks,0.6363,Courthouse Sandbridge,4021.16534866689,282.071796227505
137,Holland Pines Park,1495716286,City,GOS,General Open Space sites,10.7316,Courthouse Sandbridge,67821.7457578418,1131.49611825322
138,Holland Pines Park,1494796677,City,GOS,General Open Space sites,33.0839,Courthouse Sandbridge,209065.423906535,2300.0522979968
139,Holland Pines West Park,1495509729,City,NP,Neighborhood Parks,3.7272,Courthouse Sandbridge,23554.5458530213,1027.39282830223
140,Holland Pines Park,1495710517,City,GOS,General Open Space sites,15.8269,Courthouse Sandbridge,100025.912685414,1357.72357473808
141,Lake Placid Park,2405035459,City,NP,Neighborhood Parks,5.0722,Courthouse Sandbridge,32060.3227796749,778.379313693982
142,Pine Ridge Park, ,City,NP,Neighborhood Parks,4.1128,Courthouse Sandbridge,25990.0517175398,828.292017562239
143,Hunt Club Park,2404780812,City,NP,Neighborhood Parks,1.4969,Courthouse Sandbridge,9458.17810149982,383.741187750426
144,Hunters Run Park,2404770138,City,NP,Neighborhood Parks,1.8386,Courthouse Sandbridge,11615.9778709809,436.279299665839
145,Strawbridge Park Sec-2,2404993415,City,NP,Neighborhood Parks,6.1934,Courthouse Sandbridge,39135.2893452475,784.713843790464
146,Strawbridge Park Sec-1,2405907007,City,NP,Neighborhood Parks,5.4319,Courthouse Sandbridge,34324.6186841942,1003.23551428858
147,Strawbridge Park Sec-3, ,City,NP,Neighborhood Parks,2.4629,Courthouse Sandbridge,15563.2022903769,492.547793474351
